name,year_start,year_end,position,height,weight,birth_date,college
Darrell Griffith,1981,1991.0,G,6-4,190.0,1958-06-16,University of Louisville
Chuck Grigsby,1955,1955.0,G,6-5,190.0,1928-08-15,University of Dayton
Derek Grimm,1998,1998.0,F,6-9,230.0,1974-08-03,University of Missouri
Woody Grimshaw,1947,1947.0,G,6-1,185.0,1919-09-24,Brown University
Dick Groat,1953,1953.0,G,5-11,180.0,1930-11-04,Duke University
Bob Gross,1976,1983.0,F-G,6-6,200.0,1953-08-03,"California State University, Long Beach"
Mike Grosso,1972,1972.0,C,6-9,230.0,1947-09-07,University of Louisville
Jerry Grote,1965,1965.0,G,6-4,215.0,1940-12-28,Loyola Marymount University
Alex Groza,1950,1951.0,C,6-7,218.0,1926-10-07,University of Kentucky
Dick Grubar,1970,1970.0,G,6-4,184.0,1947-07-26,University of North Carolina
Anthony Grundy,2006,2006.0,G,6-3,180.0,1979-04-15,North Carolina State University
Ernie Grunfeld,1978,1986.0,G-F,6-6,210.0,1955-04-24,University of Tennessee
Gene Guarilia,1960,1963.0,F,6-5,220.0,1937-09-13,George Washington University
Petur Gudmundsson,1982,1989.0,C,7-2,260.0,1958-10-30,University of Washington
Richie Guerin,1957,1970.0,G,6-4,195.0,1932-05-29,Iona College
Tom Gugliotta,1993,2005.0,F,6-10,240.0,1969-12-19,North Carolina State University
Andres Guibert,1994,1995.0,F-C,6-10,225.0,1968-10-28,
Jay Guidinger,1993,1994.0,C,6-10,255.0,1969-08-18,University of Minnesota Duluth
Coulby Gunther,1947,1949.0,F,6-4,190.0,1923-02-05,Boston College
Dave Gunther,1963,1963.0,F,6-7,190.0,1937-07-22,University of Iowa
Al Guokas,1950,1950.0,F-G,6-5,200.0,1925-08-07,Saint Joseph's University
Matt Guokas,1967,1976.0,G-F,6-5,175.0,1944-02-25,Saint Joseph's University
Jorge Gutierrez,2014,2016.0,G,6-3,191.0,1988-12-27,University of California
A.J. Guyton,2001,2003.0,G,6-1,180.0,1978-02-12,Indiana University
Rudy Hackett,1976,1977.0,F,6-9,210.0,1953-05-10,Syracuse University
Hamed Haddadi,2009,2013.0,C,7-2,254.0,1985-05-19,
Jim Hadnot,1968,1968.0,C-F,6-10,235.0,1940-01-15,Providence College
Scott Haffner,1990,1991.0,G,6-3,180.0,1966-02-02,University of Evansville
Cliff Hagan,1957,1970.0,F-G,6-4,210.0,1931-12-09,University of Kentucky
Glenn Hagan,1982,1982.0,G,6-0,170.0,1955-06-25,St. Bonaventure University
Tom Hagan,1970,1971.0,G,6-3,185.0,1947-01-29,Vanderbilt University
Robert Hahn,1950,1950.0,C,6-10,240.0,1925-08-25,North Carolina State University
Al Hairston,1969,1970.0,G,6-1,170.0,1945-12-11,Bowling Green State University
Happy Hairston,1965,1975.0,F,6-7,225.0,1942-05-31,New York University
Lindsay Hairston,1976,1976.0,F-C,6-7,180.0,1951-12-08,Michigan State University
Malik Hairston,2009,2010.0,G,6-6,220.0,1987-02-23,University of Oregon
P.J. Hairston,2015,2016.0,G-F,6-6,230.0,1992-12-24,University of North Carolina
Marcus Haislip,2003,2010.0,F,6-10,230.0,1980-12-22,University of Tennessee
Chick Halbert,1947,1951.0,C,6-9,225.0,1919-02-27,West Texas A&M University
Swede Halbrook,1961,1962.0,C,7-3,235.0,1933-01-30,Oregon State University
Bruce Hale,1949,1951.0,G-F,6-1,170.0,1918-08-30,Santa Clara University
Hal Hale,1968,1968.0,G,6-1,180.0,1945-09-21,Utah State University
Jack Haley,1989,1998.0,C-F,6-10,240.0,1964-01-27,"University of California, Los Angeles"
Shaler Halimon,1969,1973.0,G-F,6-5,199.0,1945-03-30,Utah State University
Mike Hall,2007,2007.0,F,6-8,230.0,1984-06-05,George Washington University
Jeff Halliburton,1972,1973.0,G,6-5,193.0,1949-07-03,Drake University
Darvin Ham,1997,2005.0,F,6-7,220.0,1973-07-23,Texas Tech University
Steve Hamer,1997,1997.0,C,7-0,245.0,1973-11-13,University of Tennessee
Dale Hamilton,1950,1950.0,G-F,6-0,180.0,1919-08-16,Franklin College
Daniel Hamilton,2018,2018.0,G-F,6-7,195.0,1995-08-08,University of Connecticut
Dennis Hamilton,1968,1971.0,F,6-8,210.0,1944-05-08,Arizona State University
Joe Hamilton,1971,1976.0,G,5-10,160.0,1948-07-05,University of North Texas
Jordan Hamilton,2012,2016.0,G-F,6-7,220.0,1990-10-06,University of Texas at Austin
Justin Hamilton,2014,2017.0,C,7-0,260.0,1990-04-01,Louisiana State University
Ralph Hamilton,1949,1949.0,G-F,6-1,188.0,1921-06-10,Indiana University
Richard Hamilton,2000,2013.0,G-F,6-6,185.0,1978-02-14,University of Connecticut
Roy Hamilton,1980,1981.0,G,6-2,180.0,1957-07-20,"University of California, Los Angeles"
Steve Hamilton,1959,1960.0,F-C,6-6,190.0,1935-11-30,Morehead State University
Tang Hamilton,2002,2002.0,F,6-8,220.0,1978-05-26,Mississippi State University
Thomas Hamilton,1996,2000.0,C,7-2,330.0,1975-04-03,University of Pittsburgh
Zendon Hamilton,2001,2006.0,C-F,6-11,250.0,1975-04-27,St. John's University
Geert Hammink,1994,1996.0,C,7-0,262.0,1969-07-12,Louisiana State University
Julian Hammond,1968,1972.0,F,6-5,205.0,1943-05-27,University of Tulsa
Tom Hammonds,1990,2001.0,F,6-9,215.0,1967-03-27,Georgia Institute of Technology
A.J. Hammons,2017,2017.0,C,7-0,260.0,1992-08-27,Purdue University
Joe Hamood,1968,1968.0,G,6-0,180.0,1943-09-07,University of Houston
Darrin Hancock,1995,1997.0,G-F,6-7,205.0,1971-11-03,University of Kansas
Ben Handlogten,2004,2005.0,C,6-10,240.0,1973-11-16,Western Michigan University
Cecil Hankins,1947,1948.0,G,6-1,175.0,1922-01-06,Oklahoma State University
Phil Hankinson,1974,1975.0,F,6-8,195.0,1951-07-26,University of Pennsylvania
Alex Hannum,1950,1957.0,F-C,6-7,210.0,1923-07-19,University of Southern California
Don Hanrahan,1953,1953.0,F,6-7,200.0,1929-02-06,Loyola University of Chicago
Rollen Hans,1954,1955.0,G,6-2,210.0,1931-04-13,Long Island University
Ben Hansbrough,2013,2013.0,G,6-3,203.0,1987-12-23,University of Notre Dame
Tyler Hansbrough,2010,2016.0,F,6-9,250.0,1985-11-03,University of North Carolina
Bob Hansen,1984,1992.0,G,6-6,190.0,1961-01-18,University of Iowa
Glenn Hansen,1976,1978.0,G,6-4,205.0,1952-04-21,Louisiana State University
Lars Hansen,1979,1979.0,C,6-10,225.0,1954-09-14,University of Washington
Travis Hansen,2004,2004.0,G,6-6,205.0,1978-04-15,Brigham Young University
Reggie Hanson,1998,1998.0,F,6-8,195.0,1968-10-06,University of Kentucky
Bill Hanzlik,1981,1990.0,G-F,6-7,185.0,1957-12-06,University of Notre Dame
Luke Harangody,2011,2012.0,F,6-8,246.0,1988-01-02,University of Notre Dame
Anfernee Hardaway,1994,2008.0,G-F,6-7,195.0,1971-07-18,University of Memphis
Tim Hardaway,1990,2003.0,G,6-0,175.0,1966-09-01,University of Texas at El Paso
Tim Hardaway Jr.,2014,2018.0,G,6-6,205.0,1992-03-16,University of Michigan
James Harden,2010,2018.0,G,6-5,220.0,1989-08-26,Arizona State University
Reggie Harding,1964,1968.0,C,7-0,249.0,1942-05-04,
Charlie Hardnett,1963,1965.0,F-C,6-8,225.0,1938-09-13,Grambling State University
Alan Hardy,1981,1982.0,F,6-7,195.0,1957-05-25,University of Michigan
Darrell Hardy,1968,1968.0,F,6-7,220.0,,Baylor University
James Hardy,1979,1982.0,F-C,6-8,220.0,1956-12-01,University of San Francisco
Ira Harge,1968,1973.0,C,6-9,225.0,1941-03-14,University of New Mexico
John Hargis,1950,1951.0,G-F,6-2,180.0,1920-08-20,University of Texas at Austin
Maurice Harkless,2013,2018.0,F-G,6-9,215.0,1993-05-11,St. John's University
Jerry Harkness,1964,1969.0,G,6-2,175.0,1940-05-07,Loyola University of Chicago
Skip Harlicka,1969,1969.0,G,6-1,185.0,1946-10-14,University of South Carolina
Jerome Harmon,1995,1995.0,G,6-4,190.0,1969-02-06,University of Louisville
Derek Harper,1984,1999.0,G,6-4,185.0,1961-10-13,University of Illinois at Urbana-Champaign
Justin Harper,2012,2017.0,F,6-10,225.0,1989-08-30,University of Richmond
Mike Harper,1981,1982.0,C-F,6-10,195.0,1957-12-09,North Park University
Ron Harper,1987,2001.0,G-F,6-6,185.0,1964-01-20,Miami University
Matt Harpring,1999,2009.0,F,6-7,231.0,1976-05-31,Georgia Institute of Technology
Montrezl Harrell,2016,2018.0,F-C,6-8,240.0,1994-01-26,University of Louisville
Josh Harrellson,2012,2014.0,C,6-10,275.0,1989-02-12,University of Kentucky
Adam Harrington,2003,2003.0,G,6-5,200.0,1980-07-05,Auburn University
Al Harrington,1999,2014.0,F,6-9,230.0,1980-02-17,
Junior Harrington,2003,2007.0,G,6-4,180.0,1980-10-02,Wingate University
Othella Harrington,1997,2008.0,F-C,6-9,235.0,1974-01-31,Georgetown University
Art Harris,1969,1972.0,G,6-4,185.0,1947-01-13,Stanford University
Bernie Harris,1975,1975.0,F,6-10,200.0,1950-11-26,Virginia Commonwealth University
Billy Harris,1975,1975.0,G,6-2,185.0,1951-11-12,Northern Illinois University
Bob Harris,1950,1954.0,F-C,6-7,195.0,1927-03-16,Oklahoma State University
Chris Harris,1956,1956.0,G,6-3,190.0,1933-08-11,University of Dayton
Devin Harris,2005,2018.0,G,6-3,192.0,1983-02-27,University of Wisconsin
Elias Harris,2014,2014.0,F,6-8,239.0,1989-07-06,Gonzaga University
Gary Harris,2015,2018.0,G,6-4,210.0,1994-09-14,Michigan State University
Joe Harris,2015,2018.0,G,6-6,219.0,1991-09-06,University of Virginia
Lucious Harris,1994,2005.0,G,6-5,190.0,1970-12-18,"California State University, Long Beach"
Manny Harris,2011,2017.0,G,6-5,185.0,1989-09-21,University of Michigan
Mike Harris,2008,2014.0,F,6-6,240.0,1983-06-15,Rice University
Steve Harris,1986,1990.0,G,6-5,195.0,1963-10-15,University of Tulsa
Terrel Harris,2012,2013.0,G,6-5,190.0,1987-08-10,Oklahoma State University
Tobias Harris,2012,2018.0,F,6-9,235.0,1992-07-15,University of Tennessee
Tony Harris,1991,1995.0,G,6-3,190.0,1967-05-13,University of New Orleans
Aaron Harrison,2016,2017.0,G,6-6,210.0,1994-10-28,University of Kentucky
Andrew Harrison,2017,2018.0,G,6-6,213.0,1994-10-28,University of Kentucky
Bob Harrison,1950,1958.0,G,6-1,190.0,1927-08-12,University of Michigan
David Harrison,2005,2008.0,C,7-0,280.0,1982-08-15,University of Colorado
Jason Hart,2001,2010.0,G,6-3,185.0,1978-04-29,Syracuse University
Josh Hart,2018,2018.0,G,6-5,209.0,1995-03-06,Villanova University
Antonio Harvey,1994,2003.0,F-C,6-11,225.0,1970-07-06,Pfeiffer University
Donnell Harvey,2001,2005.0,F,6-8,220.0,1980-08-26,University of Florida
Scott Haskin,1994,1994.0,C-F,6-11,250.0,1970-09-19,Oregon State University
Clem Haskins,1968,1976.0,G,6-3,195.0,1943-07-11,Western Kentucky University
Udonis Haslem,2004,2018.0,F-C,6-8,235.0,1980-06-09,University of Florida
Trenton Hassell,2002,2010.0,G,6-5,200.0,1979-03-04,Austin Peay State University
Billy Hassett,1950,1951.0,G,5-11,180.0,1921-10-21,University of Notre Dame
Joe Hassett,1978,1983.0,G,6-5,180.0,1955-09-11,Providence College
Scott Hastings,1983,1993.0,F-C,6-10,235.0,1960-06-03,University of Arkansas
Kirk Haston,2002,2003.0,F,6-9,242.0,1979-03-10,Indiana University
Vern Hatton,1959,1962.0,G,6-3,195.0,1936-01-13,University of Kentucky
John Havlicek,1963,1978.0,F-G,6-5,203.0,1940-04-08,Ohio State University
Spencer Hawes,2008,2017.0,C-F,7-1,245.0,1988-04-28,University of Washington
Steve Hawes,1975,1984.0,C-F,6-9,220.0,1950-05-26,University of Washington
Connie Hawkins,1968,1976.0,F-C,6-8,210.0,1942-07-17,University of Iowa
Hersey Hawkins,1989,2001.0,G,6-3,190.0,1966-09-29,Bradley University
Juaquin Hawkins,2003,2003.0,G-F,6-7,220.0,1973-07-02,"California State University, Long Beach"
Marshall Hawkins,1950,1950.0,F,6-3,205.0,1924-08-03,University of Tennessee
Michael Hawkins,1997,2001.0,G,6-0,178.0,1972-10-28,Xavier University
Robert Hawkins,1976,1979.0,G,6-4,190.0,1954-06-30,Illinois State University
Tom Hawkins,1960,1969.0,F,6-5,210.0,1936-12-22,University of Notre Dame
Nate Hawthorne,1974,1976.0,G,6-4,190.0,1950-01-15,Southern Illinois University
Chuck Hayes,2006,2016.0,F-C,6-6,240.0,1983-06-11,University of Kentucky
Elvin Hayes,1969,1984.0,F-C,6-9,235.0,1945-11-17,University of Houston
Jarvis Hayes,2004,2010.0,F,6-7,220.0,1981-08-09,University of Georgia
Jim Hayes,1971,1971.0,G,6-3,200.0,1948-02-18,Boston University
Steve Hayes,1982,1986.0,C,7-0,205.0,1955-08-02,Idaho State University
Gordon Hayward,2011,2018.0,F-G,6-8,226.0,1990-03-23,Butler University
Lazar Hayward,2011,2013.0,F,6-6,225.0,1986-11-26,Marquette University
Brendan Haywood,2002,2015.0,C,7-0,268.0,1979-11-27,University of North Carolina
Spencer Haywood,1970,1983.0,F-C,6-8,225.0,1949-04-22,University of Detroit Mercy
John Hazen,1949,1949.0,G,6-2,172.0,1927-03-02,Indiana State University
Walt Hazzard,1965,1974.0,G,6-2,185.0,1942-04-15,"University of California, Los Angeles"
Luther Head,2006,2011.0,G,6-3,185.0,1982-11-26,University of Illinois at Urbana-Champaign
Shane Heal,1997,2004.0,G,6-0,180.0,1970-09-06,
Brian Heaney,1970,1970.0,G,6-2,180.0,1946-09-03,Acadia University
Gar Heard,1971,1981.0,F,6-6,219.0,1948-05-03,University of Oklahoma
Herm Hedderick,1955,1955.0,G,6-5,170.0,1930-01-10,Canisius College
Alvin Heggs,1996,1996.0,F,6-8,225.0,1967-12-12,University of Texas at Austin
Tom Heinsohn,1957,1965.0,F-C,6-7,218.0,1934-08-26,College of the Holy Cross
Dick Hemric,1956,1957.0,F,6-6,220.0,1933-08-29,Wake Forest University
Alan Henderson,1996,2007.0,F,6-9,235.0,1972-12-02,Indiana University
Cedric Henderson,1998,2002.0,F,6-7,215.0,1975-03-11,University of Memphis
Dave Henderson,1988,1988.0,G,6-5,195.0,1964-07-21,Duke University
Gerald Henderson,1980,1992.0,G,6-2,175.0,1956-01-16,Virginia Commonwealth University
Gerald Henderson,2010,2017.0,G,6-5,215.0,1987-12-09,Duke University
J.R. Henderson,1999,1999.0,F,6-8,226.0,1976-10-30,"University of California, Los Angeles"
Jerome Henderson,1986,1987.0,C-F,6-11,230.0,1959-10-05,University of New Mexico
Kevin Henderson,1987,1988.0,G,6-4,195.0,1964-03-22,"California State University, Fullerton"
Tom Henderson,1975,1983.0,G,6-3,190.0,1952-01-26,University of Hawaii
Mark Hendrickson,1997,2000.0,F,6-9,220.0,1974-06-23,Washington State University
Larry Hennessy,1956,1957.0,G,6-3,185.0,1929-05-20,Villanova University
Don Henriksen,1953,1955.0,F-C,6-7,225.0,1929-10-10,University of California
Al Henry,1971,1972.0,C,6-9,190.0,1949-02-09,University of Wisconsin
Bill Henry,1949,1950.0,C,6-9,215.0,1924-12-27,Rice University
Carl Henry,1986,1986.0,G,6-6,205.0,1960-08-16,University of Kansas
Conner Henry,1987,1988.0,G,6-7,195.0,1963-07-21,"University of California, Santa Barbara"
Skeeter Henry,1994,1994.0,G,6-7,190.0,1967-12-08,University of Oklahoma
Xavier Henry,2011,2015.0,G,6-6,220.0,1991-03-15,University of Kansas
John Henson,2013,2018.0,C-F,6-11,229.0,1990-12-28,University of North Carolina
Steve Henson,1991,1999.0,G,5-11,177.0,1968-02-02,Kansas State University
Charles Hentz,1971,1971.0,F,6-5,210.0,1947-09-13,University of Arkansas at Pine Bluff
Bill Herman,1950,1950.0,G,6-3,170.0,1924-05-17,Mount Union College
Kleggie Hermsen,1947,1953.0,C-F,6-9,225.0,1923-03-12,University of Minnesota
Juan Hernangomez,2017,2018.0,F,6-9,230.0,1995-09-28,
Willy Hernangomez,2017,2018.0,C,6-11,240.0,1994-05-27,
Chris Herren,2000,2001.0,G,6-2,197.0,1975-09-27,"California State University, Fresno"
Carl Herrera,1992,1999.0,F,6-9,215.0,1966-12-14,University of Houston
Walter Herrmann,2007,2009.0,F,6-9,225.0,1979-06-26,
Keith Herron,1979,1982.0,G-F,6-6,195.0,1956-06-14,Villanova University
Sonny Hertzberg,1947,1951.0,G,5-10,175.0,1922-07-29,City College of New York
Dan Hester,1971,1971.0,F,6-8,210.0,1948-11-08,Louisiana State University
Fred Hetzel,1966,1971.0,F-C,6-8,220.0,1942-07-21,Davidson College
Bill Hewitt,1969,1975.0,F,6-7,210.0,1944-08-08,University of Southern California
Jack Hewson,1948,1948.0,F-C,6-6,195.0,1924-09-07,Temple University
Art Heyman,1964,1970.0,F-G,6-5,205.0,1941-06-24,Duke University
Mario Hezonja,2016,2018.0,F-G,6-8,215.0,1995-02-25,
Roy Hibbert,2009,2017.0,C,7-2,270.0,1986-12-11,Georgetown University
Nat Hickey,1948,1948.0,G-F,5-11,180.0,1902-01-30,
Phil Hicks,1977,1979.0,F,6-7,205.0,1953-01-31,Tulane University
J.J. Hickson,2009,2016.0,F-C,6-9,242.0,1988-09-04,North Carolina State University
Buddy Hield,2017,2018.0,G,6-4,214.0,1993-12-17,University of Oklahoma
Bill Higgins,1975,1975.0,G,6-2,180.0,1952-12-15,Ashland University
Cory Higgins,2012,2013.0,G,6-5,180.0,1989-06-14,University of Colorado
Earle Higgins,1971,1971.0,F,6-8,195.0,1946-12-30,Eastern Michigan University
Mike Higgins,1990,1991.0,F,6-9,220.0,1967-02-17,University of Northern Colorado
Rod Higgins,1983,1995.0,F,6-7,200.0,1960-01-31,"California State University, Fresno"
Sean Higgins,1991,1998.0,G-F,6-9,205.0,1968-12-30,University of Michigan
Kenny Higgs,1979,1982.0,G,6-0,180.0,1955-01-31,Louisiana State University
Johnny High,1980,1984.0,G,6-3,185.0,1957-04-25,"University of Nevada, Reno"
Wayne Hightower,1963,1972.0,F-C,6-8,192.0,1940-01-14,University of Kansas
Nene Hilario,2003,2018.0,F-C,6-11,250.0,1982-09-13,
Armond Hill,1977,1984.0,G,6-4,190.0,1953-03-31,Princeton University
Cleo Hill,1962,1962.0,G,6-1,185.0,1938-05-24,Winston-Salem State University
Gary Hill,1964,1965.0,G,6-4,185.0,1941-10-07,Oklahoma City University
George Hill,2009,2018.0,G,6-3,188.0,1986-05-04,Indiana University-Purdue University Indianapolis
Grant Hill,1995,2013.0,F-G,6-8,225.0,1972-10-05,Duke University
Jordan Hill,2010,2017.0,C-F,6-10,235.0,1987-07-27,University of Arizona
Simmie Hill,1970,1974.0,F,6-7,233.0,1946-11-14,West Texas A&M University
Solomon Hill,2014,2017.0,F,6-7,225.0,1991-03-18,University of Arizona
Steven Hill,2009,2009.0,C,7-0,248.0,1985-11-14,University of Arkansas
Tyrone Hill,1991,2004.0,F,6-9,240.0,1968-03-19,Xavier University
Art Hillhouse,1947,1948.0,C,6-7,220.0,1916-06-12,Long Island University
Darrun Hilliard,2016,2018.0,G,6-6,205.0,1993-04-13,Villanova University
Darnell Hillman,1972,1980.0,F-C,6-9,215.0,1949-08-29,San Jose State University
Fred Hilton,1972,1973.0,G-F,6-3,185.0,1948-01-15,Grambling State University
Kirk Hinrich,2004,2016.0,G,6-4,190.0,1981-01-02,University of Kansas
Roy Hinson,1984,1991.0,F-C,6-9,210.0,1961-05-02,Rutgers University
Mel Hirsch,1947,1947.0,G,5-6,165.0,1921-07-31,Brooklyn College
Lew Hitch,1952,1957.0,F-C,6-8,200.0,1929-07-16,Kansas State University
Robert Hite,2007,2007.0,G,6-2,184.0,1984-01-12,University of Miami
Darington Hobson,2012,2012.0,G,6-7,210.0,1987-09-29,University of New Mexico
Donald Hodge,1992,1996.0,C,7-0,230.0,1969-02-25,Temple University
Julius Hodge,2006,2007.0,G,6-7,210.0,1983-11-18,North Carolina State University
Craig Hodges,1983,1992.0,G,6-2,190.0,1960-06-27,"California State University, Long Beach"
Charlie Hoefer,1947,1948.0,G,5-9,158.0,1921-09-16,Queens College
Paul Hoffman,1948,1955.0,G-F,6-2,195.0,1925-04-12,Purdue University
Bob Hogsett,1967,1968.0,F,6-7,230.0,1941-01-29,University of Tennessee
Paul Hogue,1963,1964.0,C,6-9,240.0,1940-04-28,University of Cincinnati
Fred Hoiberg,1996,2005.0,G,6-4,203.0,1972-10-15,Iowa State University
Doug Holcomb,1949,1949.0,F,6-4,200.0,1925-02-09,University of Wisconsin
Randy Holcomb,2006,2006.0,F,6-9,225.0,1979-08-08,San Diego State University
Jrue Holiday,2010,2018.0,G,6-4,205.0,1990-06-12,"University of California, Los Angeles"
Justin Holiday,2013,2018.0,G,6-6,185.0,1989-04-05,University of Washington
Brad Holland,1980,1982.0,G,6-3,180.0,1956-12-06,"University of California, Los Angeles"
Joe Holland,1950,1952.0,F,6-4,185.0,1925-09-26,University of Kentucky
John Holland,2018,2018.0,G-F,6-5,205.0,1988-11-06,Boston University
Wilbur Holland,1976,1979.0,G,6-0,175.0,1951-11-08,University of New Orleans
Lionel Hollins,1976,1985.0,G,6-3,185.0,1953-10-19,Arizona State University
Ryan Hollins,2007,2016.0,C,7-0,240.0,1984-10-10,"University of California, Los Angeles"
Essie Hollis,1979,1979.0,F,6-6,195.0,1955-05-16,St. Bonaventure University
Rondae Hollis-Jefferson,2016,2018.0,F,6-7,220.0,1995-01-03,University of Arizona
Dennis Holman,1968,1968.0,G,6-3,175.0,1945-10-08,Southern Methodist University
Richaun Holmes,2016,2018.0,F-C,6-10,245.0,1993-10-15,Bowling Green State University
Jim Holstein,1953,1956.0,F-G,6-3,180.0,1930-09-24,University of Cincinnati
A.W. Holt,1971,1971.0,F,6-7,210.0,1946-08-26,Jackson State University
Mike Holton,1985,1990.0,G,6-4,185.0,1961-08-04,"University of California, Los Angeles"
Dick Holub,1948,1948.0,C,6-6,205.0,1921-10-29,Long Island University
Joe Holup,1957,1959.0,F,6-6,215.0,1934-02-26,George Washington University
Red Holzman,1949,1954.0,G,5-10,175.0,1920-08-10,City College of New York
Jerald Honeycutt,1998,1999.0,F-G,6-9,245.0,1974-10-20,Tulane University
Tyler Honeycutt,2012,2013.0,F,6-8,188.0,1990-07-15,"University of California, Los Angeles"
Derek Hood,2000,2000.0,F,6-8,222.0,1976-12-22,University of Arkansas
Rodney Hood,2015,2018.0,G-F,6-8,206.0,1992-10-20,Duke University
Bobby Hooper,1969,1969.0,G,6-0,180.0,1946-12-22,University of Dayton
Carroll Hooser,1968,1968.0,F,6-7,230.0,1944-03-05,Southern Methodist University
Tom Hoover,1964,1969.0,C,6-9,230.0,1941-01-23,Villanova University
Bob Hopkins,1957,1960.0,C-F,6-8,205.0,1934-11-03,Grambling State University
Dave Hoppen,1988,1993.0,C-F,6-11,235.0,1964-03-13,University of Nebraska
Dennis Hopson,1988,1992.0,G-F,6-5,200.0,1965-04-22,Ohio State University
Scotty Hopson,2014,2014.0,G,6-7,204.0,1989-08-08,University of Tennessee
Johnny Horan,1956,1956.0,F,6-8,190.0,1932-11-24,University of Dayton
